StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"MI",26,7,701645,0.24207825894861362,0.21205880466617735,0.22864839056787978,0.22883651989253825,3.3112186362049184e-2,1.4161007347020216e-2,2.8561452016333047e-2,1.254338019938858e-2
"MI",26,8,736333,0.2385306647943254,0.18240660136106898,0.2293948526006576,0.20118343195266272,5.364420717257002e-2,1.8770040185622536e-2,5.5870102249933114e-2,2.0200099683159656e-2
"MI",26,9,720890,0.20978373954417456,0.17913828739474816,0.1877692851891412,0.19984463649100417,7.43109212223779e-2,2.778232462650335e-2,8.151312960368433e-2,3.985767592836632e-2
"MI",26,10,717703,0.2374115755403001,0.21725281906303862,0.23497463435432206,0.23456081415292956,2.3930511646182335e-2,1.2836786247235974e-2,2.5878392594151062e-2,1.3154466401840316e-2
"MI",26,11,727901,0.20803103718774943,0.18854761842613213,0.20027998312957393,0.21350705659148703,6.664230437930432e-2,2.8108218013163877e-2,6.411586190979268e-2,3.076792036279659e-2
"MI",26,12,708060,0.2281600429342146,0.15889613874530406,0.22333982995791318,0.17642996356240997,7.712199531113183e-2,2.5859390447137247e-2,7.640171736858459e-2,3.3790921673304525e-2
"MI",26,13,674157,0.11064336645618157,8.043081952720212e-2,0.10878919895513953,8.51359549778464e-2,0.18230619870445608,0.10331569649206342,0.19729973878488247,0.1320790261022284
"MI",26,14,696235,9.349860320150524e-2,7.855393653005091e-2,8.380360079570835e-2,8.402335418357308e-2,0.20035332897656682,0.1054816261750702,0.20725186179953609,0.14703368833798933
"MN",27,1,675755,0.25184275366072023,0.1964839327862909,0.2407706935205807,0.21044165414980281,4.236446641164327e-2,8.011779417096432e-3,3.902005904506811e-2,1.1064661008797567e-2
"MN",27,2,705074,0.23803458927715387,0.17679420883481733,0.22978013655304266,0.19428740813021045,6.533498611493262e-2,1.7352788501632452e-2,6.028161583039511e-2,1.813426675781549e-2
"MN",27,3,714299,0.2037284106515619,0.1851843555709864,0.20227383770661866,0.2110194750377643,7.645117800808905e-2,2.134400300154417e-2,7.519680133949508e-2,2.480193868394048e-2
"MN",27,4,714075,0.1901985085600252,0.15235514476770648,0.1864580051115079,0.17684276861674195,0.11344886741588768,3.1307635752547004e-2,0.11854076952701047,3.084830024857333e-2
"MN",27,5,721389,0.1961188762235077,0.12830525555560177,0.18989893108988354,0.13904703287685286,0.1413758734885062,3.659883918385226e-2,0.1335853471566658,3.506984442512985e-2
